    Num: 	 in order:	 the end:	 in pairs:
-0.89999998	0.00000072	0.00000010	0.00000000
-0.81999999	0.00000014	0.00000007	0.00000021
-0.74000001	0.00000035	0.00000000	0.00000018
-0.66000003	0.00000000	0.00000000	0.00000000
-0.58000004	0.00000000	0.00000000	0.00000007
-0.50000006	0.00000017	0.00000000	0.00000000
-0.42000008	0.00000033	0.00000000	0.00000011
-0.34000009	0.00000007	0.00000007	0.00000000
-0.26000011	0.00000000	0.00000000	0.00000000
-0.18000011	0.00000015	0.00000008	0.00000000
-0.10000011	0.00000042	0.00000028	0.00000028
-0.02000012	0.00000065	0.00000074	0.00000065
0.05999988	0.00000096	0.00000096	0.00000090
0.13999988	0.00000011	0.00000011	0.00000011
0.21999988	0.00000022	0.00000007	0.00000015
0.29999989	0.00000034	0.00000023	0.00000011
0.37999988	0.00000000	0.00000000	0.00000000
0.45999986	0.00000016	0.00000008	0.00000000
0.53999984	0.00000007	0.00000000	0.00000007
0.61999983	0.00000006	0.00000006	0.00000012
0.69999981	0.00000011	0.00000000	0.00000011
0.77999979	0.00000010	0.00000010	0.00000000
0.85999978	0.00000010	0.00000000	0.00000010
   Sum:   	0.00000525	0.00000296	0.00000317
